run,model_path,w_wait,w_queue,w_speed,w_pressure,w_ttc,w_qlen,waiting,queue,speed,pressure_abs,ttc_conflicts,queue_length,pareto
1,models/dqn_workzone_w01.zip,0.212220708,0.206216641,0.421008117,0.024697583,0.007629873,0.128227078,20,3.5,0.49,11,1,48,FALSE
2,models/dqn_workzone_w02.zip,0.204375723,0.452870955,0.022987604,0.15170042,0.010209839,0.157855458,26,3.1,0.445,9.5,0.7,42,FALSE
3,models/dqn_workzone_w03.zip,0.33670813,0.075243213,0.479036971,0.029905786,0.017809925,0.061295976,34,4.2,0.505,13,1.9,68,FALSE
4,models/dqn_workzone_w04.zip,0.126972592,0.058186707,0.351495684,0.031500327,0.258956987,0.172887703,42,3.8,0.425,9,1.2,53,TRUE
5,models/dqn_workzone_w05.zip,0.22446841,0.14276203,0.310327987,0.02638226,0.061485214,0.2345741,29,4.6,0.458,12.5,0.5,58,FALSE
6,models/dqn_workzone_w06.zip,0.088127248,0.286639403,0.321278641,0.053946947,0.104544667,0.145463093,23,3.3,0.47,14.5,1.3,35,FALSE
7,models/dqn_workzone_w07.zip,0.063145607,0.059119567,0.322828484,0.054534882,0.244936818,0.255434641,60,5.8,0.51,18,4,128,FALSE
8,models/dqn_workzone_w08.zip,0.175370474,0.011813687,0.366912806,0.21908923,0.181510676,0.045303127,18,5.5,0.41,16,2.8,95,FALSE
9,models/dqn_workzone_w09.zip,0.118911406,0.061407502,0.262593404,0.007832579,0.062007916,0.487247193,48,3,0.435,11.5,2.5,85,FALSE
10,models/dqn_workzone_w10.zip,0.664176524,0.093671572,0.094426431,0.066115235,0.060062478,0.02154776,38,4.4,0.475,9.3,3.5,32,FALSE
11,models/dqn_workzone_w11.zip,0.074526014,0.094649822,0.207455733,0.365286828,0.144925089,0.113156514,52,5.5,0.415,18,3.4,108,TRUE
12,models/dqn_workzone_w12.zip,0.216902862,0.123163626,0.018480464,0.198841951,0.12916231,0.313448786,62,6,0.39,19.5,4.2,126,FALSE
13,models/dqn_workzone_w13.zip,0.300049721,0.049130709,0.014721576,0.13683059,0.377787072,0.121480331,43,5.2,0.42,16.8,3.1,93,FALSE
14,models/dqn_workzone_w14.zip,0.350620884,0.123899471,0.432403663,0.04751575,0.022116733,0.023443498,36,4.8,0.445,15.5,2.4,72,FALSE
15,models/dqn_workzone_w15.zip,0.021893377,0.010171275,0.63870295,0.083459414,0.071835068,0.173937916,68,6.4,0.375,21,4.6,135,FALSE
16,models/dqn_workzone_w16.zip,0.032566409,0.333597187,0.449350569,0.05725627,0.034883558,0.092346007,55,5.7,0.405,18.5,3.7,116,FALSE
17,models/dqn_workzone_w17.zip,0.039430554,0.00979697,0.130273171,0.291285527,0.130496995,0.398716783,46,5.1,0.43,16.2,3,89,TRUE
18,models/dqn_workzone_w18.zip,0.226362135,0.123653462,0.409401134,0.080408025,0.118118071,0.042057173,59,5.9,0.385,19.8,3.9,123,TRUE
19,models/dqn_workzone_w19.zip,0.053295021,0.521850086,0.068270334,0.045715097,0.075480612,0.235388849,50,5.4,0.412,17.5,3.3,103,TRUE
20,models/dqn_workzone_w20.zip,0.049849337,0.082449973,0.520316001,0.18570922,0.14108355,0.020591919,39,4.9,0.45,15,2.6,79,FALSE
